POA code,States/Territories
872,"Northern Territory, South Australia, Western Australia"
2540,"New South Wales, Other Territories"
2611,"New South Wales, Australian Capital Territory"
2620,"New South Wales, Australian Capital Territory"
2618,"New South Wales, Australian Capital Territory"
2406,"New South Wales, Queensland"
3707,"Victoria, New South Wales"
3691,"Victoria, New South Wales"
3644,"Victoria, New South Wales"
4375,"Queensland, New South Wales"
4377,"Queensland, New South Wales"
4380,"Queensland, New South Wales"
4383,"Queensland, New South Wales"
4385,"Queensland, New South Wales"
4825,"Queensland, Northern Territory"
,
"Source: Australian Bureau of Statistics, Postal Areas July 2021 - June 2026",
